Trying seed 0
18500000 enq, 121714 curr, 27 best, 1492.98 s
18600000 enq, 96342 curr, 27 best, 1504.47 s
18700000 enq, 1969 curr, 27 best, 1517.28 s
18800000 enq, 7417 curr, 27 best, 1525.73 s
18900000 enq, 1119 curr, 27 best, 1533.23 s
19000000 enq, 4041 curr, 27 best, 1539.96 s
19100000 enq, 2959 curr, 27 best, 1547.37 s
19200000 enq, 9033 curr, 27 best, 1553.98 s
19300000 enq, 3720 curr, 27 best, 1562.74 s
19400000 enq, 1573 curr, 27 best, 1569.38 s
19500000 enq, 7551 curr, 27 best, 1575.82 s
19600017 enq, 6915 curr, 27 best, 1583.71 s
19700000 enq, 11589 curr, 27 best, 1590.76 s
19800000 enq, 3627 curr, 27 best, 1599.06 s
19900000 enq, 3987 curr, 27 best, 1607.89 s
20000000 enq, 8540 curr, 27 best, 1615.45 s
20100000 enq, 12026 curr, 27 best, 1621.01 s
20200000 enq, 16436 curr, 27 best, 1628.91 s
20300000 enq, 4802 curr, 27 best, 1637.28 s
20400000 enq, 7940 curr, 27 best, 1643.74 s
20500000 enq, 7328 curr, 27 best, 1650.63 s
20600000 enq, 16651 curr, 27 best, 1658.47 s
20700000 enq, 20780 curr, 27 best, 1665.66 s
20800000 enq, 15453 curr, 27 best, 1673.39 s
20900000 enq, 14521 curr, 27 best, 1679.21 s
21000000 enq, 16453 curr, 27 best, 1686.52 s
21100000 enq, 18407 curr, 27 best, 1693.33 s
21200000 enq, 16585 curr, 27 best, 1700.61 s
21300000 enq, 16329 curr, 27 best, 1709.29 s
21400000 enq, 18924 curr, 27 best, 1715.39 s
21500000 enq, 24708 curr, 27 best, 1721.11 s
21600000 enq, 25752 curr, 27 best, 1728.84 s
21700000 enq, 29224 curr, 27 best, 1735.56 s
21800000 enq, 30447 curr, 27 best, 1741.63 s
21900000 enq, 32606 curr, 27 best, 1747.15 s
22000000 enq, 33103 curr, 27 best, 1754.78 s
22100000 enq, 32603 curr, 27 best, 1762.35 s
22200000 enq, 32070 curr, 27 best, 1772.51 s
22300000 enq, 28323 curr, 27 best, 1778.06 s
22400000 enq, 4074 curr, 27 best, 1784.74 s
22500000 enq, 5359 curr, 27 best, 1791.05 s
22600000 enq, 2287 curr, 27 best, 1799.11 s
22700000 enq, 5756 curr, 27 best, 1808.58 s
22800000 enq, 2390 curr, 27 best, 1816.97 s
22900000 enq, 4735 curr, 27 best, 1825.40 s
23000000 enq, 4363 curr, 27 best, 1832.67 s
23100000 enq, 4053 curr, 27 best, 1840.73 s
23200000 enq, 4327 curr, 27 best, 1848.08 s
23300000 enq, 7686 curr, 27 best, 1856.98 s
23400000 enq, 8488 curr, 27 best, 1863.81 s
23500000 enq, 5330 curr, 27 best, 1871.10 s
23600000 enq, 12031 curr, 27 best, 1877.73 s
23700000 enq, 17879 curr, 27 best, 1884.85 s
23800000 enq, 16950 curr, 27 best, 1890.47 s
23900000 enq, 2910 curr, 27 best, 1898.30 s
24000000 enq, 16842 curr, 27 best, 1905.34 s
24100000 enq, 6696 curr, 27 best, 1915.67 s
24200000 enq, 12122 curr, 27 best, 1923.54 s
24300000 enq, 3322 curr, 27 best, 1933.82 s
24400000 enq, 2421 curr, 27 best, 1943.23 s
24500000 enq, 3051 curr, 27 best, 1951.25 s
24600000 enq, 14893 curr, 27 best, 1958.94 s
24700000 enq, 4473 curr, 27 best, 1970.32 s
24800000 enq, 8920 curr, 27 best, 1977.53 s
24900000 enq, 4797 curr, 27 best, 1984.96 s
25000000 enq, 3205 curr, 27 best, 1993.37 s
25100000 enq, 6273 curr, 27 best, 2001.73 s
25200000 enq, 3584 curr, 27 best, 2009.39 s
25300000 enq, 8905 curr, 27 best, 2018.57 s
25400000 enq, 4925 curr, 27 best, 2026.54 s
25500000 enq, 4395 curr, 27 best, 2035.74 s
